Full Key,Segment Key,Aggregation Key,Entity,Scenario,Metric,Rating Grade,0,1,2,3
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Amortisation,0.00000000,0.00000000,17000.49641179,26970.75150446
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Default (0 - 12),0.00000000,1493.00000008,1327.09500805,769.26269338
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Default (12 - 24),0.00000000,3572.99999997,1334.03731210,1095.87097110
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Default (24+),0.00000000,0.00000000,2486.12560343,3414.36078887
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,High risk,0.00000000,6744.00000020,5166.15617163,3414.34737980
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Implied Amortisation,0.00000000,0.00000000,4003.50057961,6650.64432741
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Low risk,0.00000000,6755.00000030,3549.47308090,1863.88183920
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Medium risk,0.00000000,9667.00000089,5292.31961309,2933.90141224
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Very high risk,0.00000000,4877.99999981,2803.83020639,1601.02304652
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,Adjusted Starting Exposure,Very low risk,0.00000000,22975.76185269,13122.72786696,7371.71789095
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Amortisation,0.00000000,0.00000000,0.00000000,0.00000000
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Default (0 - 12),6.86094289,4.04190707,1.47780272,0.37072332
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Default (12 - 24),8.41400352,5.82312161,3.04314218,0.99340684
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Default (24+),10.93572649,7.56834308,5.07031889,2.47396897
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,High risk,0.27494693,0.13239143,0.04087385,0.00799262
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Implied Amortisation,0.00000000,0.00000000,0.00000000,0.00000000
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Low risk,0.05160779,0.02484999,0.00767206,0.00150022
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Medium risk,0.13354508,0.06430413,0.01985293,0.00388211
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Very high risk,0.87031520,0.41907097,0.12938183,0.02529979
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL 12m,Very low risk,0.00097161,0.00046784,0.00014444,0.00002824
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL Lifetime,Amortisation,0.00000000,0.00000000,0.00000000,0.00000000
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL Lifetime,Default (0 - 12),6.89676938,4.04892169,1.47799719,0.37072332
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL Lifetime,Default (12 - 24),8.44789074,5.83051381,3.04335071,0.99340684
,,Consumer Loans :: Fixed,ALL,Placeholder - Scenario,ECL Lifetime,Default (24+),10.93572649,7.56834308,5.07031889,2.47396897
